Survey ID,Survey: Remarks [999],Treatment
5421,OSPAR ID 209: 59 Bed sheet  67 Partly papier hankies  74 & 75 parts of a sand catchment fence  89 one electric battery  105 plaster  plastic pellets: not assessed,
5422,"OSPAR ID 209: 96 Pottery pieces  plastic pellets:  not assessed  Cigarette butts, bottle tops, drining straws, cocktail spoons, plastic cups, plastic strapping bands are more than likely the remains from a beach party in July",
5423,OSPAR ID 209: plastic pellets: not assessed,
5432,OSPAR ID 209: 3 pieces of stone,
5438,OSPAR ID 209: 41 branches trees,
5440,OSPAR ID 209: 4 trees and branches,
5441,OSPAR ID 209: 59 scarf  Presence of plastic pellets:not assessed,
5442,OSPAR ID 209: 110 6 pieces on 100 m,
5443,OSPAR ID 209: 2 trees and branches,
5444,OSPAR ID 209: 4 trees and branches,
5445,"OSPAR ID 209: Trees, branches:4",
5448,OSPAR ID 209: 20 trees/branches,
5449,OSPAR ID 209: 56 branches/trees,
5454,OSPAR ID 209: 59 rag  89 yoghurt lid  93 1 half bottle & 2 pieces of bottle  111 2 lumps of oil  plastic pellets:  not assessed,
5455,OSPAR ID 209: Presence of plastic pellets:not assessed,
5456,OSPAR ID 209: 75 Post 120 c,
5457,OSPAR ID 209: 3 trees and branches,
5459,"OSPAR ID 209: Trees, branches: 2",
5462,OSPAR ID 209: 2 trees/branches,
5471,OSPAR ID 209: 32 branches trees,
5473,OSPAR ID 209: Presence of plastic pellets: not assessed,
5474,OSPAR ID 209: Presence of plastic pellets:     not assessed,
5479,OSPAR ID 209: 112 Presence of plastic pellets:  not assessed,
5480,OSPAR ID 209: 59 cleaning rag  90 broom handle  105 mask  112 Presence of plastic pellets:      not assessed,
5481,OSPAR ID 209: plastic pellets: not assessed,
5485,OSPAR ID 209: Trees/branches: 9,
5498,OSPAR ID 209: 58 ballons. Couldn't enter,
5499,OSPAR ID 209: Survey carried out 15 March 2003,
5505,OSPAR ID 209: Small spots of oil,
5506,OSPAR ID 209: Rubberbrick no 53  Duskmask no 59  Brooken glas no 93  Brick no 96,
5507,"OSPAR ID 209: no 53 one piece 100*4*6 cm  no 59 dustmaske  no 93 pieces of glass  no 96 briggs 15, roofstones 8, beton 5  oillumps 10 lumps 5-40 cm",
5508,OSPAR ID 209: 12 can for paint 1  96 dish           1  102 toothbrush 1  102 glassbootle for parfume 1,
5510,OSPAR ID 209: Nr 96 mursten 12 stk,
5511,OSPAR ID 209: Nr 93 Mursten,
5514,OSPAR ID 209: Nr 89 Vinkeljern.   Nr 96 Mursten.,
5522,OSPAR ID 209: Plastics bags net where it is placed the bait in the pots: 14  Plastic bags net (like mesh vegetable bags) used in mussel culture: 8  Plastic devices placed in the mussels' ropes: 11,
5523,OSPAR ID 209: Plastic bags net (like mesh vegetable bags) uses in mussel culture: 11  Plastic nets where it is placed the bait in the pots:1  The beach was affected by the Prestige oil spill and so it is  cleaned regularly,remove
5524,OSPAR ID 209: Plastic bags net (like mesh vegetable bags) used in mussel culture: 8  Plastic nets where it is placed the bait in the pots:3  The beach was affectd by the Prestige oil spill and so it is cleaned regularly,remove
5525,OSPAR ID 209: N,
5526,OSPAR ID 209: N,
5527,OSPAR ID 209: N,
5529,OSPAR ID 209: item N,
5530,OSPAR ID 209: item n,
5531,OSPAR ID 209: The beach was nechanical cleaned 1 week ago (more or less)  End plastic bags: 3  Other fishing litter: 14  remember that N,remove
5532,OSPAR ID 209: The beach is regularly cleaned daily by mechanical means in summer,remove
5533,OSPAR ID 209: I will send the notes separately because there is a problem when I write in this box,
5534,OSPAR ID 209: 74. Remains fish boxes  75. Inindintified,
5535,OSPAR ID 209: n48. Plastic detonator  More comments in a separate e-mail,
5536,OSPAR ID 209: n,
5537,OSPAR ID 209: item n,
5544,OSPAR ID 209: The beach was affectd by the Prestige oil spill and there are small spots of solid oil over the tidal mark,
5545,OSPAR ID 209: still there are a lot of small spots of solid oil over the sand and the tidal mark,
5546,OSPAR ID 209: n,
5547,OSPAR ID 209: n,
5551,OSPAR ID 209: item n,
5552,OSPAR ID 209: N,
5554,OSPAR ID 209: n,
5555,OSPAR ID 209: 1 piece of wax  5 plastic cords from explosives detonator,
5557,OSPAR ID 209: item n,
5559,OSPAR ID 209: item n,
5564,OSPAR ID 209: N,
5566,OSPAR ID 209: The beach was cleaned recently,remove
5583,OSPAR ID 209: some parafine only 4 lumbs on 100 m,
5585,OSPAR ID 209: 3 days after bft 9,
5586,OSPAR ID 209: Much cleaning activities in adjacent areas: probably influences the amount of marine litter on the reference beach,remove
5589,"OSPAR ID 209: 111 SMALL OIL SPOTS, 10/100M",
5590,OSPAR ID 209: LITTLE PIECES OF OIL ALL ALONG THE MONITORING-SITE (SIZE 2MM),
5591,OSPAR ID 209: 109 total 50  110 total 10  111 little oil spot (2cm),
5592,OSPAR ID 209: 111 SLACK,
5599,"OSPAR ID 209: very strong wind, stormy weather",
5601,OSPAR ID 209: paraffine op strand,
5602,"OSPAR ID 209: Large standing nets, lenght > 40 m.",
5608,OSPAR ID 209: OIL PIECES 13  108/109 PARAFFIN 3 PIECES IN TOTAL,
5609,OSPAR ID 209: Due to intensive car traffic and loose sand monitoring site was all ploughed by the many tracks,remove
5610,OSPAR ID 209: 109 total 5,
5611,OSPAR ID 209: 111 SLACK 4,
5612,OSPAR ID 209: 111 SLACK 6,
5614,OSPAR ID 209: slack 80,
5616,"OSPAR ID 209: NL2: South of the monitored beach, they collected plant material like seaweed. This may influence the monitoring results, since a lot of litter is removed from the beach/sea with the plant material.",remove
5618,OSPAR ID 209: very strong wind,
5620,OSPAR ID 209: veel paraffine,
5629,OSPAR ID 209: TAR 1,
